Timestamp,SET50.Open,SET50.High,SET50.Low,SET50.Close,Vol,
03/01/01,186.1,189.4,186.1,189.2,58670,
04/01/01,191.4,194.8,191.4,194.6,197329,
05/01/01,194.6,201.6,194.6,201.6,197152,
08/01/01,208.1,213.1,205.9,209.5,600306,
09/01/01,210.5,218.5,209,211.7,827371,
10/01/01,213.6,216.9,207.6,207.6,374084,
11/01/01,208.9,211.7,207.5,208.8,467973,
12/01/01,213.4,223.5,213.4,222.6,962667,
15/01/01,225.9,229.9,224.7,227.6,801028,
16/01/01,229.5,229.6,220.2,220.2,446232,
17/01/01,220.8,226.2,219.6,225.7,502537,
18/01/01,229.5,232,225.2,225.2,705053,
19/01/01,228.7,231,224.2,227.2,446150,
22/01/01,228.1,228.8,225.9,228.8,296196,
23/01/01,229.4,234.2,228.8,234.1,695564,
24/01/01,235.7,237.6,232.7,233.5,666670,
25/01/01,233.8,246.3,233.8,245.1,1050109,
26/01/01,247.6,250.7,237.7,239.1,981156,
29/01/01,240.1,243.2,237,239.2,486025,
30/01/01,240,240.2,232.6,233.1,563091,
31/01/01,234,238.9,231,238.9,560169,
01/02/01,237.8,241,235.7,236.8,527265,
02/02/01,237.7,239.9,236.7,239.8,322226,
05/02/01,239.2,241.3,235.7,235.9,332949,
06/02/01,236.7,237.6,231.2,231.3,238282,
07/02/01,231.3,235.2,231.3,234.5,266837,
09/02/01,236,237.8,232,232.3,359135,
12/02/01,231.6,232.2,225.1,227.1,238529,
13/02/01,228.1,230.5,226.7,230.2,211194,
14/02/01,229.3,229.6,224.3,224.5,244776,
15/02/01,224.8,226.2,223.6,224.3,146076,
16/02/01,225,227.3,223.9,224.7,137711,
19/02/01,222.1,222.1,218.5,219.1,145260,
20/02/01,219.9,221.6,218.1,221.3,138988,
21/02/01,219.7,222.5,219.1,219.1,144127,
22/02/01,217.2,219.2,216.3,218,111069,
23/02/01,219.4,230.7,219.4,230.4,505000,
26/02/01,234.1,235,227.2,227.5,579488,
27/02/01,230.2,232.8,229,231.8,440540,
28/02/01,232.1,232.8,230,230,495473,
01/03/01,228.7,231.3,222.7,222.7,420861,
02/03/01,222.7,223.7,214.5,215.1,334117,
05/03/01,212.8,212.8,206.6,210.3,258121,
06/03/01,212,213.6,209.7,209.7,144391,
07/03/01,211.6,215.3,211.6,215,285526,
08/03/01,214.9,217.1,211.8,212.4,202646,
09/03/01,213.4,217.2,213.3,216.4,341438,
12/03/01,214.7,217.1,213.7,214.7,390345,
13/03/01,211,213,209.6,213,246720,
14/03/01,214,215,210.9,210.9,179422,
15/03/01,210.9,210.9,205.3,207.8,200842,
16/03/01,207.6,207.9,204.5,204.5,126077,
19/03/01,204.1,205.4,203.2,203.5,90555,
20/03/01,204.5,206.2,204,204.9,98524,
21/03/01,203.5,203.9,200.7,203.4,166725,
22/03/01,202.4,204.5,202.1,202.5,150203,
23/03/01,203.2,205.4,202.8,202.8,134108,
26/03/01,203.9,206.4,203.9,205.9,92682,
27/03/01,206.2,207.3,203.6,203.6,108621,
28/03/01,205.2,205.7,200.5,200.5,117672,
29/03/01,199.6,200.7,198.4,200.6,79550,
30/03/01,201.4,202.5,199.4,200.9,120984,
02/04/01,200,201,198.6,199.6,101352,
03/04/01,199.1,200.7,196.2,196.6,143905,
04/04/01,194.8,195.1,191,191,106394,
05/04/01,191.3,193.8,190.2,193.8,93827,
09/04/01,193,194.2,190.5,190.6,84181,
10/04/01,190.9,191.3,189.5,191.3,65053,
11/04/01,193.4,195.1,193.4,193.8,109404,
12/04/01,193.7,200.8,193.7,200.1,301677,
17/04/01,200.5,200.6,195.8,195.8,204208,
18/04/01,197.5,204.9,197.5,204,406977,
19/04/01,207.6,210.9,204.6,204.7,528522,
20/04/01,205.9,206.7,200.7,200.7,179167,
23/04/01,200.7,201.3,197.3,198.7,78203,
24/04/01,197.7,202.4,197.5,202.1,209992,
25/04/01,201.6,203.2,199.9,201.9,177981,
26/04/01,203.7,205.4,201.7,201.7,302726,
27/04/01,201.3,202.6,200.8,202.1,120134,
30/04/01,202.1,205.6,202.1,204.1,130629,
02/05/01,205.3,207.7,203.3,203.3,145662,
03/05/01,203.3,206,202.1,204.5,76555,
04/05/01,204.4,207,202.8,207,154575,
09/05/01,207.9,211.6,206.2,211.4,185446,
10/05/01,211.9,214.2,210.9,213.1,344334,
11/05/01,212.6,214.5,208.8,209,442539,
14/05/01,209.1,209.8,206.2,206.7,174776,
15/05/01,207.4,209.5,206,206.2,209760,
16/05/01,206.4,207.2,202.9,203.5,168651,
17/05/01,204.8,206.7,203.7,204.9,245294,
18/05/01,205.4,206.7,204.2,205.3,153834,
21/05/01,205.6,205.8,202.9,202.9,86349,
22/05/01,203.4,208.7,203.4,207.8,143866,
23/05/01,208.5,213.4,208.5,212.4,449575,
24/05/01,212.6,215.1,212.1,213.5,277435,
25/05/01,214.6,218.1,211.4,213.1,408057,
28/05/01,213.4,216.7,212.9,216.7,201113,
29/05/01,217.1,217.1,210.1,210.4,309168,
30/05/01,210.8,212.2,208.5,210.3,274810,
31/05/01,209.9,211.6,208.1,210.3,221259,
01/06/01,210.9,212.2,210.5,211.1,211140,
04/06/01,212,213.8,211.9,212.4,202346,
05/06/01,213.4,213.9,208.9,209.9,263210,
06/06/01,211.1,211.8,209.4,210,125894,
07/06/01,210.1,211.4,207.6,208.5,118168,
08/06/01,208.7,211.6,207.8,211.5,172905,
11/06/01,211.3,213.2,210.6,213.1,145895,
12/06/01,213.2,215.1,212.4,212.8,190955,
13/06/01,213.9,220.9,213.9,220.2,490568,
14/06/01,220.1,221.6,217.2,217.2,375096,
15/06/01,217.1,221.1,217.1,219.1,358799,
18/06/01,220.5,221.4,215,215,269684,
19/06/01,216.1,217.1,214,215.6,119547,
20/06/01,216.6,217.1,214.7,214.9,98306,
21/06/01,215.8,217.1,213.5,213.6,147086,
22/06/01,214.3,214.8,213.4,214.6,87057,
25/06/01,215.2,216.8,214.8,215.5,71036,
26/06/01,215.6,218.7,215.6,216,209451,
27/06/01,217.1,217.8,216,217.1,126952,
28/06/01,217.2,218.7,216.1,216.1,216355,
29/06/01,218.7,219.1,215,215.5,216286,
02/07/01,215.9,217.1,215,215.5,79157,
03/07/01,215.9,218.8,215.9,218.2,129899,
04/07/01,218.9,220,217.2,217.2,133845,
05/07/01,218.6,219.2,215.5,216.9,160811,
09/07/01,214.9,218.3,214.9,216.8,101856,
10/07/01,217.8,219.3,215.3,216.5,115802,
11/07/01,216.3,216.9,207.4,209,193457,
12/07/01,210,211.3,208.1,210.5,106557,
13/07/01,211.6,213.1,208.8,209.4,138998,
16/07/01,210.2,210.2,205.5,205.5,107241,
17/07/01,205.6,208.7,205.5,208.6,102975,
18/07/01,208.7,209.7,207.7,208.3,115696,
19/07/01,208.6,210.3,208.3,208.3,126078,
